PID,PathType,Width,Length,Depth,Width_P,Length_P,Rotation,Rep,PointIndex,BoardX,BoardY,BoardZ,WorldX,WorldY,WorldZ
23,3,2,25,4,0.1396,1.773552,LR,0,75,0.3095393,-1.699786,-0.8208327,0.3095393,1.300214,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,76,0.3220138,-1.704232,-0.8208327,0.3220138,1.295768,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,77,0.3335118,-1.706163,-0.8208327,0.3335118,1.293837,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,78,0.3565381,-1.71433,-0.8208327,0.3565381,1.28567,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,79,0.3718521,-1.721203,-0.8208327,0.3718521,1.278797,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,80,0.389239,-1.733444,-0.8208327,0.389239,1.266556,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,81,0.4065449,-1.740677,-0.8208327,0.4065449,1.259323,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,82,0.4182602,-1.742498,-0.8208327,0.4182602,1.257502,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,83,0.4251517,-1.753854,-0.8208327,0.4251517,1.246146,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,84,0.4426864,-1.759276,-0.8208327,0.4426864,1.240724,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,85,0.4611692,-1.765681,-0.8208327,0.4611692,1.234319,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,86,0.4707823,-1.777139,-0.8208327,0.4707823,1.222861,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,87,0.4822585,-1.791391,-0.8208327,0.4822585,1.208609,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,88,0.4913041,-1.804193,-0.8208327,0.4913041,1.195807,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,89,0.5073208,-1.798063,-0.8208327,0.5073208,1.201937,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,90,0.5180426,-1.792547,-0.8208327,0.5180426,1.207453,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,91,0.5256422,-1.784548,-0.8208327,0.5256422,1.215452,4.179167
