x,y,z
0.0740667,-4.496448,0.07497367
0.06856487,-4.570246,0.07514233
0.06507853,-4.642124,0.07556044
0.05414616,-5.170135,0.07883784
0.08562227,-12.93859,0.04392767
0.0724818,-13.67903,0.04827257
0.07035334,-14.15295,0.04860025
0.0680958,-14.51307,0.04885567
0.06765315,-15.51607,0.04825196
0.06674452,-15.89813,0.04811919
0.0691639,-15.9322,0.04550349
0.070746,-15.79422,0.04377236
0.07319862,-15.63909,0.04069321
0.07555093,-15.4035,0.03846464
0.07967949,-14.99643,0.03449378
0.04203389,-1.480179,0.06884427
0.04335527,-1.267773,0.06742801
0.04505721,-0.809777,0.06509055
0.04499884,-0.8718255,0.064601
0.04365238,-1.145164,0.0642128
0.04270875,-1.305049,0.06407759
0.04106728,-1.479236,0.06339753
0.03993459,-1.577001,0.06307637
0.03761553,-1.507878,0.06310342
0.07175786,-15.02887,0.02717187
0.0707687,-15.26349,0.02714418
0.06866603,-15.47211,0.02765655
0.06779033,-15.56125,0.02780612
0.0670135,-15.69988,0.0274022
0.06659964,-15.76743,0.02716894
0.06652158,-15.34763,0.02586226
0.0660155,-15.07287,0.02555306
0.06494701,-14.57842,0.02502568
0.06555304,-14.08339,0.02407048
0.06601126,-13.6304,0.02322953
0.06825273,-12.92539,0.02155683
0.02939665,-3.210899,0.05850108
0.02975987,-3.044781,0.05770617
0.0296955,-2.895354,0.05733335
0.02992073,-2.510493,0.05654018
0.03019105,-2.251002,0.05613118
0.03174374,-1.823395,0.05533697
0.03172746,-1.857849,0.05555198
0.03172153,-1.886638,0.05574309
0.03140548,-2.410819,0.05649932
0.03110108,-2.925797,0.05710611
0.03167748,-3.867214,0.05738594
0.03108422,-4.011121,0.05767294
0.03016298,-4.282472,0.05818039
0.02977288,-4.417122,0.05842229
0.06827788,-14.27961,0.02161401
0.06588059,-14.47488,0.02243248
0.06481151,-14.48012,0.02256453
0.06298101,-14.49754,0.02277089
0.06305733,-14.69788,0.02290794
0.06305251,-14.98551,0.02309867
0.06275591,-15.25965,0.02367336
0.0625838,-16.07534,0.02550777
0.06248077,-16.4928,0.02647677
0.06201463,-16.94991,0.02756314
0.06136473,-17.29377,0.02849602
0.06106856,-17.30105,0.02858756
0.06136967,-17.31054,0.02817878
0.06174309,-17.31016,0.02779993
0.06196614,-17.25607,0.02680137
0.0619514,-17.25293,0.02641643
0.06108955,-17.19123,0.02606503
0.05945149,-16.96172,0.02510508
0.05892232,-16.82515,0.02453487
0.05688365,-16.87983,0.02446278
0.05598733,-16.90885,0.02440093
0.05571366,-17.09256,0.02408668
0.05662031,-17.24313,0.02373241
0.05794661,-17.4941,0.0231454
0.05822472,-17.58926,0.02297666
0.05849385,-17.68596,0.02281689
0.05882397,-18.02897,0.02297554
0.05811004,-18.00937,0.02303056
0.05673883,-17.99026,0.02309851
0.05601487,-17.97108,0.02327598
0.05507692,-17.87514,0.02347448
0.05483562,-17.80497,0.02352573
0.05399418,-17.73811,0.02372108
0.05336767,-17.73396,0.02386588
0.05304,-17.66198,0.02384313
0.05345685,-17.45158,0.02340831
0.05421653,-17.31406,0.02299891
0.05686446,-17.00474,0.02169931
0.05872783,-16.83573,0.02081133
0.06152894,-16.67638,0.01971862
0.06272326,-16.59913,0.01926329
0.06300552,-16.55561,0.01911934
0.06402932,-16.31249,0.01844399
0.02531615,-1.956392,0.05361795
0.02563173,-1.144955,0.05323975
0.02548401,-0.6246247,0.05323663
0.02900359,-0.3397969,0.05244315
0.03208673,-0.2561725,0.05120888
0.03766872,-0.03217843,0.04890288
0.0411791,-0.1499748,0.04724755
0.04447796,-0.2159751,0.04567427
0.04675163,-0.03035511,0.04355191
0.04815338,0.06770912,0.04245362
0.04831621,0.3203242,0.04161777
0.04933512,0.3794796,0.04170295
0.05172988,0.3225923,0.04228169
0.05302163,0.2276589,0.04281513
0.05408642,0.1148093,0.04339339
0.05186078,-1.392691,0.04656401
0.04685019,-2.312359,0.05022282
0.04033462,-3.723733,0.05551401
0.03394458,-3.77788,0.05878846
0.06113207,150.8031,0.03483685
0.06240376,146.9106,0.03858542
0.07119463,136.5376,0.0470241
0.07643261,130.6493,0.05148502
0.08558541,122.9942,0.05443855
0.09951119,109.3943,0.05940447
0.1048466,103.4515,0.06130924
0.112269,88.11733,0.06861041
0.1151894,80.25758,0.07194602
0.1168439,64.13486,0.07847478
0.1181947,57.68582,0.07991048
0.1131822,48.6072,0.08588401
0.102823,46.10965,0.09192402
0.09796938,41.97882,0.09567304
0.09553271,46.34385,0.1035243
0.09522299,44.98867,0.1069741
0.1084728,42.18075,0.1042566
0.1191076,37.49303,0.1008875
0.130404,30.6575,0.09764504
0.1394162,25.60178,0.09383778
0.1424395,17.61736,0.09174305
0.1416567,13.69395,0.09119287
0.1360095,12.2755,0.09144352
0.1312907,7.171552,0.08938789
0.1278906,4.704926,0.08732878
0.1218545,-3.914985,0.08017091
0.1189831,-9.240247,0.07556447
