PID,taskType,rightHanded,width,length,rotation,execType,trialRep,PositionX,PositionY

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001544053,-0.01500002

